recId	osmStatus	dcsStatus
NHRE-000-000-000-005	Unpublished	Final
NHRE-000-000-000-006	Unpublished	Final
NHRE-000-000-000-007	Unpublished	Final
NHRE-000-000-000-008	Unpublished	Final
NHRE-000-000-000-009	Unpublished	Final
NHRE-000-000-000-010	Unpublished	Final
NHRE-000-000-000-011	Unpublished	Final
NHRE-000-000-000-012	Unpublished	Final
NHRE-000-000-000-013	Unpublished	Final
NHRE-000-000-000-014	Unpublished	Final
NHRE-000-000-000-015	Unpublished	Final
NHRE-000-000-000-016	Unpublished	Final
NHRE-000-000-000-017	Unpublished	Final
NHRE-000-000-000-018	Unpublished	Final
NHRE-000-000-000-019	Unpublished	Final
NHRE-000-000-000-020	Unpublished	Final
NHRE-000-000-000-021	Unpublished	Final
NHRE-000-000-000-022	Unpublished	Final
NHRE-000-000-000-023	Unpublished	Final
NHRE-000-000-000-024	Unpublished	Final
NHRE-000-000-000-025	Unpublished	Final
NHRE-000-000-000-026	Unpublished	Final
NHRE-000-000-000-027	Unpublished	Final
NHRE-000-000-000-028	Unpublished	Final
NHRE-000-000-000-029	Unpublished	Final
NHRE-000-000-000-030	Unpublished	Final
NHRE-000-000-000-031	Unpublished	Final
NHRE-000-000-000-032	Unpublished	Final
NHRE-000-000-000-033	Unpublished	Final
NHRE-000-000-000-034	Unpublished	Final
NHRE-000-000-000-035	Unpublished	Final
NHRE-000-000-000-036	Unpublished	Final
NHRE-000-000-000-037	Unpublished	Final
NHRE-000-000-000-038	Unpublished	Final
NHRE-000-000-000-039	Unpublished	Final
NHRE-000-000-000-040	Unpublished	Final
NHRE-000-000-000-041	Unpublished	Final
NHRE-000-000-000-042	Unpublished	Final
NHRE-000-000-000-043	Unpublished	Final
NHRE-000-000-000-044	Unpublished	Final
NHRE-000-000-000-045	Unpublished	Final
NHRE-000-000-000-046	Unpublished	Final
NHRE-000-000-000-047	Unpublished	Final
NHRE-000-000-000-048	Unpublished	Final
NHRE-000-000-000-049	Unpublished	Final
NHRE-000-000-000-050	Unpublished	Final
NHRE-000-000-000-051	Unpublished	Final
NHRE-000-000-000-052	Unpublished	Final
NHRE-000-000-000-053	Unpublished	Final
NHRE-000-000-000-054	Unpublished	Final
NHRE-000-000-000-055	Unpublished	Final
NHRE-000-000-000-056	Unpublished	Final
NHRE-000-000-000-057	Unpublished	Final
NHRE-000-000-000-058	Unpublished	Final
NHRE-000-000-000-059	Unpublished	Final
