recId	dcsstatus	resourceType	Fiscal	Published	Accepted	Created	Digitized	In press	Modified	Reviewer assigned	Submitted
OSGC-000-000-001-105	Final		2005	2005-05-21							
OSGC-000-000-000-967	Final		2010	2010-10-29							
OSGC-000-000-000-436	Final		2010	2010-06-01							
OSGC-000-000-000-755	Final		2010	2010-03-01							
OSGC-000-000-001-038	Final		2011					2010-10-31			
OSGC-000-000-000-995	Final		2011								2010-10-30
OSGC-000-000-000-545	Final		2010	2009-12-01							
OSGC-000-000-000-570	Final		2009	2009-06-01							
OSGC-000-000-001-163	Final		2010	2010-01-01							
OSGC-000-000-000-770	Final		2010	2010-07-23							
OSGC-000-000-001-162	Final		2010	2010-03-17							
OSGC-000-000-001-274	Final		2010	2009							
OSGC-000-000-000-771	Final		2009	2009-08-31							
OSGC-000-000-000-169	Final		2010	2009-06-22							
OSGC-000-000-000-180	Final		2010	2010-02							
OSGC-000-000-000-386	Final		2010	2010-09-01							
OSGC-000-000-000-319	Final		2010								2010-09-30
OSGC-000-000-000-091	Final		2010	2010-01-26							
OSGC-000-000-000-355	Final		2010	2010-07-30							
OSGC-000-000-000-369	Final		2009	2009-12-01							
OSGC-000-000-001-205	Final		2010	2010-01-01							
OSGC-000-000-000-630	Final		2011	2010-10-26							
OSGC-000-000-000-777	Final		2010	2009-12-01							
OSGC-000-000-000-868	Final		2010	2010-10-28							
OSGC-000-000-000-883	Final		2010	2010-05-15							
OSGC-000-000-000-730	Final		2010	2010-05-01							
OSGC-000-000-000-781	Final		2010	2009-12-01							
OSGC-000-000-000-707	Final		2010	2010-03-26							
OSGC-000-000-000-201	Final		2010	2010-06-16							
OSGC-000-000-000-978	Final		2010	2010-10-29							
OSGC-000-000-000-766	Final		2010	2010-05-01							
OSGC-000-000-000-153	Final		2010	2010-01-21							
OSGC-000-000-000-572	Final		2010	2010-02-01							
OSGC-000-000-000-074	Final		2009	2009-06-29							
OSGC-000-000-001-031	Final		2011								2010-10-31
OSGC-000-000-000-124	Final		2010	2010-05							
OSGC-000-000-000-133	Final		2010	2010-04-22							
OSGC-000-000-000-504	Final		2011	2010-10-08							
OSGC-000-000-000-841	Final		2011	2010-11-01							
OSGC-000-000-000-933	Final		2010	2010-09-30							
OSGC-000-000-000-103	Final		2010	2010-04							
OSGC-000-000-000-837	Final		2011	2010-10-28							
OSGC-000-000-000-096	Final		2010	2009-11-24							
OSGC-000-000-000-872	Final		2010	2010-05-11							
OSGC-000-000-000-708	Final		2010	2010-05-04							
OSGC-000-000-001-101	Final		2010	2010-04-20							
OSGC-000-000-000-640	Final		2010	2010-07-09							
OSGC-000-000-001-263	Final		2010	2010							
OSGC-000-000-000-468	Final		2011	2010-10-18							
OSGC-000-000-000-643	Final		2010	2010-07-15							
OSGC-000-000-000-291	Final		2010	2010-02-04							
OSGC-000-000-000-140	Final		2010	2010-01-26							
OSGC-000-000-001-272	Final		2010	2009							
OSGC-000-000-001-086	Final		2010	2010-02-21							
OSGC-000-000-000-700	Final		2010	2010-06-15							
OSGC-000-000-000-659	Final		2010	2010-06-30							
OSGC-000-000-000-670	Final		2010	2010-06-03							
OSGC-000-000-001-259	Final		2010	2009							
OSGC-000-000-000-516	Final		2011								2010-07-30
OSGC-000-000-000-013	Final		2009	2008-12							
OSGC-000-000-000-060	Final		2009	2008-10							
OSGC-000-000-000-931	Final		2010	2010-06-19							
OSGC-000-000-000-388	Final		2010	2010-02-01							
OSGC-000-000-001-047	Final		2011								2010-10-31
OSGC-000-000-000-067	Final		2008	2008-02							
OSGC-000-000-000-754	Final		2010	2010-03-01							
OSGC-000-000-000-015	Final		2008	2008-04-01							
OSGC-000-000-000-760	Final		2010	2009-12-01							
OSGC-000-000-000-514	Final		2010					2010-08-27			
OSGC-000-000-000-780	Final		2010	2010-02-01							
OSGC-000-000-001-011	Final		2010	2010-05-01							
OSGC-000-000-000-034	Final		2009	2008-12-02							
OSGC-000-000-000-717	Final		2010					2010-09-30			
OSGC-000-000-000-004	Final		2009	2009-06							
OSGC-000-000-000-511	Final		2010	2010-09-18							
OSGC-000-000-001-149	Final		2010	2010-04-13							
OSGC-000-000-000-363	Final		2010	2009-12-01							
OSGC-000-000-000-159	Final		2010	2010-04-16							
OSGC-000-000-000-055	Final		2009	2009-01							
OSGC-000-000-000-811	Final		2010	2009-12-01							
OSGC-000-000-000-936	Final		2010	2009-12-01							
OSGC-000-000-001-023	Final		2010	2010-02-03							
OSGC-000-000-000-302	Final		2010	2009-12-01							
OSGC-000-000-000-711	Final		2010	2009-12-01							
OSGC-000-000-000-628	Final		2010	2009-10-01							
OSGC-000-000-000-297	Final		2010	2010-06-04							
OSGC-000-000-000-725	Final		2010	2009-10-01							
OSGC-000-000-001-062	Final		2010	2010-01-01	2009-07-16						
OSGC-000-000-001-270	Final		2010	2009							
OSGC-000-000-000-453	Final		2010	2010-04-01							
OSGC-000-000-000-500	Final		2010	2010-09-01							
OSGC-000-000-000-828	Final		2011					2010-11-01			
OSGC-000-000-000-973	Final		2010	2010-07-15							
OSGC-000-000-001-087	Final		2011	2010-11-17							
OSGC-000-000-001-249	Final		2010	2009							
OSGC-000-000-000-261	Final		2011					2010-10-14			
OSGC-000-000-000-688	Final		2010	2009-11-01							
OSGC-000-000-000-589	Final		2010	2009-12-01							
OSGC-000-000-000-270	Final		2010	2010-08-16							
OSGC-000-000-000-728	Final		2011								2010-10-27
OSGC-000-000-000-740	Final		2010	2010-09-22							
OSGC-000-000-000-278	Final		2010	2010-09-30							
OSGC-000-000-000-425	Final		2010					2010-06-07			
OSGC-000-000-000-965	Final		2010	2010-04-13							
OSGC-000-000-000-509	Final		2011		2010-11-03						
OSGC-000-000-000-885	Final		2010	2010-03-26							
OSGC-000-000-000-887	Final		2010	2010-01-01							
OSGC-000-000-001-278	Final		2011	2010-10-06							
OSGC-000-000-000-200	Final		2010	2010-07-15							
OSGC-000-000-000-678	Final		2010	2009-12-01							
OSGC-000-000-000-001	Final		2010		2009-11-27						
OSGC-000-000-000-743	Final		2009	2009-08-31							
OSGC-000-000-000-910	Final		2009	2009-08-12							
OSGC-000-000-000-879	Final		2010	2010-07-01							
OSGC-000-000-001-093	Final		2010	2010-06-29							
OSGC-000-000-000-161	Final		2010	2010-01-30							
OSGC-000-000-000-926	Final		2010	2009-12-01							
OSGC-000-000-000-093	Final		2010	2009-11-16							
OSGC-000-000-000-353	Final		2010	2010-09-23							
OSGC-000-000-000-458	Final		2009	2009-07-01							
OSGC-000-000-001-001	Final		2011	2010-10-01							
OSGC-000-000-000-309	Final		2010	2010-07-01							
OSGC-000-000-000-530	Final		2010	2009-12-10							
OSGC-000-000-000-084	Final		2010	2010-04-05							
OSGC-000-000-000-745	Final		2010	2009-10-28							
OSGC-000-000-000-747	Final		2010	2010-02-01							
OSGC-000-000-000-076	Final		2009	2009-03-07							
OSGC-000-000-000-437	Final		2010	2010-04-17							
OSGC-000-000-000-032	Final		2009	2009							
OSGC-000-000-001-248	Final		2010	2009							
OSGC-000-000-000-379	Final		2010	2010-02-05							
OSGC-000-000-000-163	Final		2010	2010-02-05							
OSGC-000-000-000-130	Final		2010	2010-05-01							
OSGC-000-000-000-195	Final		2010	2009-10							
OSGC-000-000-000-184	Final		2010	2010-05-07							
OSGC-000-000-000-860	Final		2010	2010-10-28							
OSGC-000-000-000-573	Final		2010	2009-10-01							
OSGC-000-000-000-290	Final		2010	2010-06-01							
OSGC-000-000-000-641	Final		2010	2009-11-05							
OSGC-000-000-000-066	Final		2008	2008-03-14							
OSGC-000-000-000-007	Final		2009	2009-01							
OSGC-000-000-000-107	Final		2010	2010-01-05							
OSGC-000-000-000-345	Final		2010	2010-09-27							
OSGC-000-000-000-925	Final		2010	2009-12-01							
OSGC-000-000-000-543	Final		2010	2009-12-01							
OSGC-000-000-000-746	Final		2010	2010-05-01							
OSGC-000-000-000-075	Final		2009	2009-05-06							
OSGC-000-000-001-053	Final		2011								2010-10-31
OSGC-000-000-000-417	Final		2010	2010-07-01							
OSGC-000-000-000-164	Final		2010	2010-05-01							
OSGC-000-000-000-052	Final		2008	2008-08-29							
OSGC-000-000-001-070	Final		2011								2010-10-31
OSGC-000-000-001-057	Final		2010								2010-10-31
OSGC-000-000-001-068	Final		2010								2010-05-23
OSGC-000-000-000-764	Final		2010	2010-05-01							
OSGC-000-000-000-138	Final		2010	2010-04-28							
OSGC-000-000-000-056	Final		2008	2008-08-18							
OSGC-000-000-000-205	Final		2010	2010-02-27							
OSGC-000-000-000-120	Final		2009	2009-07							
OSGC-000-000-000-399	Final		2011					2010-10-08			
OSGC-000-000-001-276	Final		2010	2010							
OSGC-000-000-001-239	Final		2010	2010							
OSGC-000-000-000-703	Final		2010	2009-12-01							
