pub_date,title,authors,doi,ark,journal,collaboration,num_yellowstone_authors,yellowstone_authors,sum_author_charges,other_ncar_authors
2012-06-07,Potential impacts of Asian carbon aerosols on future US warming,"Teng, H.; Washington, W.; Branstator, G.; et al",10.1029/2012GL051723,http://n2t.net/ark:/85065/d7c53mg4,Geophysical Research Letters,UCAR only,3,"Teng, H.; Branstator, G.; Lamarque, J.",7212032.5,"Washington, W.; Meehl, G."
2011-11-30,The sun-earth connection near solar minimum: Placing it into context,"Bisi, M.; Thompson, B.; Emery, B.; et al",10.1007/s11207-011-9915-2,http://n2t.net/ark:/85065/d73r0th9,Solar Physics,"UCAR, University and Other",1,"Emery, B.",983.5,"Gibson, S."
2011-11-01,The rise of active region flux tubes in the turbulent solar convective envelope,"Weber, M.; Fan, Y.; Miesch, M.",10.1088/0004-637X/741/1/11,http://n2t.net/ark:/85065/d7kp82r1,The Astrophysical Journal,UCAR and University,3,"Weber, M.; Fan, Y.; Miesch, M.",14698417.4,
2011-10-20,A magnetohydrodynamic model of the 2006 December13 eruptive flare.,"Fan, Y.",10.1088/0004-637X/740/2/68,http://n2t.net/ark:/85065/d7t72j28,The Astrophysical Journal,UCAR only,1,"Fan, Y.",14599477.7,
2012-03-01,Systematic estimates of initial-value decadal predictability for six AOGCMs,"Branstator, G.; Teng, H.; Meehl, G.; et al",10.1175/JCLI-D-11-00227.1,http://n2t.net/ark:/85065/d7jq11nn,Journal of Climate,"UCAR, University and Other",2,"Branstator, G.; Teng, H.",58344.8,"Meehl, G.; Latif, M."
2012-04-09,Role of the Bering Strait on the hysteresis of the ocean conveyor belt circulation and glacial climate stability,"Hu, A.; Meehl, G.; Han, W.; et al",10.1073/pnas.1116014109,http://n2t.net/ark:/85065/d79887n4,Proceedings of the National Academy of Sciences of the United States of America,UCAR and University,2,"Hu, A.; Otto-Bliesner, B.",6278519.2,"Meehl, G.; Timmermann, A.; Liu, Z.; Washington, W.; Large, W."
2012-01-15,Modeling the surface mass-balance response of the Laurentide Ice Sheet to Bølling warming and its contribution to Meltwater Pulse 1A,"Carlson, A.; Ullman, D.; Anslow, F.; et al",10.1016/j.epsl.2011.07.008,http://n2t.net/ark:/85065/d71r6r46,Earth and Planetary Science Letters,UCAR and University,1,"Otto-Bliesner, B.",3397120.4,"Ullman, D."
2012-05-01,Simulating the biogeochemical and biogeophysical impacts of transient land cover change and wood harvest in the Community Climate System Model (CCSM4) from 1850 to 2100,"Lawrence, P.; Feddema, J.; Bonan, G.; et al",10.1175/JCLI-D-11-00256.1,http://n2t.net/ark:/85065/d7s75gzx,Journal of Climate,"UCAR, University and Other",7,"Lawrence, P.; Bonan, G.; Oleson, K.; Levis, S.; Lawrence, D.; Kluzek, E.; Lindsay, K.",28753514.5,"Meehl, G.; O'Neill, B."
2012-07-01,Effects of parameterized diffusion on simulated hurricanes,"Rotunno, R.; Bryan, G.",10.1175/JAS-D-11-0204.1,http://n2t.net/ark:/85065/d78916gv,Journal of the Atmospheric Sciences,UCAR only,2,"Rotunno, R.; Bryan, G.",6752797.1,
2012-02-07,Bromine and iodine chemistry in a global chemistry-climate model: Description and evaluation of very short-lived oceanic sources,"Ordonez, C.; Lamarque, J.; Tilmes, S.; et al",10.5194/acp-12-1423-2012,http://n2t.net/ark:/85065/d7r78fv0,Atmospheric Chemistry and Physics,"UCAR, University and Other",3,"Lamarque, J.; Tilmes, S.; Kinnison, D.",35795217.3,"Brasseur, G."
2012-06-19,Australia's Black Saturday fires - Comparison of techniques for estimating emissions from vegetation fires,"Paton-Walsh, C.; Emmons, L.; Wiedinmyer, C.",10.1016/j.atmosenv.2012.06.066,http://n2t.net/ark:/85065/d7794591,Atmospheric Environment,UCAR and University,1,"Emmons, L.",417510.0,"Wiedinmyer, C."
2012-02-13,Global climate evolution during the last deglaciation,"Clark, P.; Shakun, J.; Baker, P.; et al",10.1073/pnas.1116619109,http://n2t.net/ark:/85065/d7zs2x5x,Proceedings of the National Academy of Sciences of the United States of America,"UCAR, University and Other",1,"Otto-Bliesner, B.",3397120.4,"Bartlein, P.; Adkins, J."
2012-04-01,True to Milankovitch: Glacial inception in the new community climate system model,"Jochum, M.; Jahn, A.; Peacock, S.; et al",10.1175/JCLI-D-11-00044.1,http://n2t.net/ark:/85065/d7qc044w,Journal of Climate,UCAR only,6,"Jahn, A.; Bailey, D.; Fasullo, J.; Kay, J.; Levis, S.; Otto-bliesner, B.",23306730.4,"Jochum, M.; Peacock, S."
2012-02-03,The Pacific-Atlantic seesaw and the Bering Strait,"Hu, A.; Meehl, G.; Han, W.; et al",10.1029/2011GL050567,http://n2t.net/ark:/85065/d7ft8mpw,Geophysical Research Letters,"UCAR, University and Other",1,"Hu, A.",2881398.8,"Meehl, G."
2012-04-15,Monsoon regimes and processes in CCSM4. Part II: African and American monsoon systems,"Cook, K.; Meehl, G.; Arblaster, J.",10.1175/JCLI-D-11-00185.1,http://n2t.net/ark:/85065/d7697463,Journal of Climate,"UCAR, University and Other",1,"Arblaster, J.",66194.8,"Meehl, G."
2012-08-15,Climate feedbacks in CCSM3 under changing CO₂ forcing. Part I: Adapting the linear radiative kernel technique to feedback calculations for a broad range of forcings,"Jonko, A.; Shell, K.; Sanderson, B.; et al",10.1175/JCLI-D-11-00524.1,http://n2t.net/ark:/85065/d7xw4kdd,Journal of Climate,UCAR and University,2,"Sanderson, B.; Danabasoglu, G.",11351843.0,
2011-09-18,Model-based evidence of deep-ocean heat uptake during surface-temperature hiatus periods,"Meehl, G.; Arblaster, J.; Fasullo, J.; et al",10.1038/NCLIMATE1229,http://n2t.net/ark:/85065/d7pc331z,Nature Climate Change,UCAR and Other,3,"Arblaster, J.; Fasullo, J.; Hu, A.",3471866.2,"Meehl, G.; Trenberth, K."
