uhtbin_url	citable_url
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000122	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-078
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000123	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-078
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000124	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-078
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000125	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-078
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000126	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-078
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000127	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-127
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000128	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-128
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000129	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-129
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000130	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-130
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000131	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-131
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000132	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-132
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000133	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-133
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000134	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-078
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000135	http://nldr.library.ucar.edu/repository/monographs/MONOGRAPH-000-000-000-135
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000136	http://nldr.library.ucar.edu/repository/monographs/MONOGRAPH-000-000-000-135
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000137	http://nldr.library.ucar.edu/repository/monographs/MONOGRAPH-000-000-000-135
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000138	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-138
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000139	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-139
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000140	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-140
